0 0 B-LOC NN NNP
NN NN B-PERSON NN NN
DEM NN B-PERSON NN NN
RB JJ B-PERSON VM QO
NNP VM B-NUM NN PRP
JJ NN B-PERSON VM VM
VM SYM B-PERSON NN NN
NN SYM B-PERSON NN DEM
NN NST B-PERSON NN RB
VM SYM B-PERSON NNP NNP
SYM NNP I-PERSON NNP NN
NNP NNP I-PERSON NN DEM
NN VM B-DATE NN NN
SYM NN B-DATE QC NN
NN NN I-DATE NN NN
NN NN B-PERSON NNP VM
NN NNP I-PERSON VM JJ
VM SYM B-PERSON SYM NNP
NNP SYM B-PERSON RB VM
NN SYM B-PERSON SYM NN
NN SYM B-PERSON NNP SYM
SYM NNP I-PERSON SYM NN
NN SYM B-PERSON SYM NN
SYM NN B-ORG PSP VM
VM SYM B-ORG NN QF
NN NN B-DATE QC NN
NN QC B-DATE NN NST
NN NST B-ORG NN NN
NST NNP I-ORG NN NN
VM SYM B-ORG NN NN
SYM NN I-ORG NN SYM
NN NN I-ORG SYM PRP
NN NN B-YEAR NN VM
NN NN B-YEAR NN PSP
NN QC B-DATE PSP NN
SYM RB B-YEAR NST NN
VM SYM B-ORG NN NN
SYM NNP I-ORG NN PRP
NN JJ B-PERSON NN VM
VM SYM B-PERSON NN VM
NN NN B-PERSON NN PSP
VM SYM B-PERSON NN VM
NN UT B-PERSON RB VM
VM SYM B-LOC PRP QC
NNP PRP B-NUM QC CL
PRP QC I-NUM CL NN
SYM CC B-LOC PRP QC
NNP PRP B-NUM QC CL
PRP QC I-NUM CL NN
VM VM B-PERSON NNP VM
VM NNP B-PERSON VM SYM
VM SYM B-LOC VM NN
VM NN B-NUM NN CL
NN QC I-NUM CL NN
NN PSP B-MONEY QC QC
PSP NN I-MONEY QC NN
NN QC I-MONEY NN SYM
NN PSP B-NUM NN NN
PSP QC I-NUM NN SYM
NN VM B-LOC NN NNP
NNP NN B-PERSON NNP VM
NN NNP I-PERSON VM NN
VM SYM B-LOC SYM NN
NNP SYM B-DATE QC SYM
SYM NN I-DATE SYM NN
VM SYM B-DAY NNP NN
SYM NN B-PERSON NN RB
SYM PRP B-PERIOD NN JJ
PRP QC I-PERIOD JJ NN
NN SYM B-NUM PRP NN
SYM NN B-NUM SYM PSP
NN NN B-LOC NN SYM
NN JJ B-NUM NN VM
NN VM B-ORG NN NN
NN UT B-PERSON NNP VM
UT NNP I-PERSON VM SYM
VM SYM B-DATE NN NN
RB VM B-ORG NNP NN
VM NN I-ORG NN NN
NN NNP I-ORG NN SYM
NNP NN I-ORG SYM NN
NN SYM B-ORG NN SYM
SYM NN I-ORG SYM NN
SYM NN B-DAY NN NN
NN NN B-TIME NN NNP
NN QC I-TIME NNP NN
QC NN B-LOC NN NN
RB UT B-PERSON NNP VM
UT NNP I-PERSON VM NN
VM SYM B-ORG NN NN
NN NN B-PERSON NNP VM
NN NNP I-PERSON VM NN
VM VM B-ORG NN NN
VM NN I-ORG NN VM
VM SYM B-ORG NN SYM
SYM NN I-ORG SYM NN
NN NN B-PERSON VM NN
NNP VM B-ORG NN SYM
VM NN I-ORG SYM NN
NN RB B-ORG NN SYM
RB NN I-ORG SYM NN
JJ NN B-PERSON VM QC
NNP VM B-TIME NN NN
VM QC I-TIME NN RB
NN SYM B-DATE QC SYM
SYM NN I-DATE SYM NN
NN NN B-LOC PSP NST
VM NN B-DAY INTF VM
NN NST B-LOC NN NN
SYM NN B-NUM NNP NN
NN QC B-ORG NN NN
VM NN B-LOC NST NN
NN VM B-LOC SYM NNP
NNP SYM B-LOC VM SYM
SYM NN B-PERSON QC NN
NN NNP B-PERIOD NN NNP
NNP QC I-PERIOD NNP SYM
QC NN B-LOC SYM NN
NNP SYM B-DATE QC SYM
SYM NN I-DATE SYM RP
SYM RP B-LOC PSP RB
RB VM B-LOC NNP SYM
VM NNP I-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC NN PSP
SYM VM B-LOC NNP NN
VM NNP I-LOC NN VM
VM SYM B-LOC NN SYM
NN SYM B-ORG NN SYM
SYM NN I-ORG SYM NN
VM SYM B-LOC SYM NNP
NNP SYM B-LOC JJ NN
JJ NN B-LOC NN NN
NN PSP B-LOC VM VM
VM SYM B-YEAR NN NN
NST RB B-DAY JJ NN
VM SYM B-LOC SYM NNP
NNP SYM B-LOC NN JJ
NN JJ B-LOC NN NN
NN NN B-NUM NN QC
QC NN B-NUM NN RB
NN QC I-NUM RB VM
SYM NN B-LOC SYM NNP
NNP SYM B-LOC NN VM
NN VM B-LOC NN NN
SYM RP B-NUM NN NN
NN SYM B-ORG QC NN
SYM NNP B-DATE NN NN
VM VM B-DAY VM NN
VM SYM B-YEAR NN NN
NN NN B-LOC PSP JJ
VM SYM B-NUM NN VM
SYM PRP B-LOC NST NN
VM SYM B-LOC NNP SYM
SYM NNP I-LOC SYM NNP
NNP SYM B-LOC UT INTF
VM SYM B-NUM NN NN
NN NN B-NUM QC CL
NN QC I-NUM CL NN
RB VM B-LOC NNP NST
VM NNP I-LOC NST SYM
NST SYM B-LOC NST NN
NNP NST B-PERIOD NN VM
NN VM B-PERSON NNP NNP
VM NN B-LOC NNP PSP
NN NNP I-LOC PSP NN
VM SYM B-LOC PSP JJ
NN NN B-MONEY QC QC
NN NN I-MONEY QC VM
NN QC I-MONEY VM NN
NN PSP B-MONEY QC QC
PSP NN I-MONEY QC VM
NN QC I-MONEY VM NNP
QC VM B-ORG NN NN
VM NNP B-DAY NN NST
NN NN B-NUM NN NN
VM SYM B-NUM NN NN
NN NN B-PERIOD RB NN
NN QC I-PERIOD NN VM
NN PRP B-NUM NN NN
NN VM B-NUM NN NN
VM SYM B-YEAR PSP NNP
QC PSP B-ORG NNP UT
PSP NNP I-ORG UT NN
NN NN B-LOC NN NN
NN NN B-NUM RB NN
NN QC I-NUM NN VM
RB VM B-NUM RB VM
VM QC I-NUM VM SYM
NN VM B-NUM NN RP
NN RB B-MONEY RB VM
RB QC I-MONEY VM PRP
NN NN B-MONEY RB VM
NN QC I-MONEY VM VM
NST VM B-PERSON NN PSP
NN PSP B-ORG SYM NN
SYM DEM B-NUM NN NN
SYM PRP B-PERSON VM NN
VM NN B-ORG NN NNP
NNP NN B-ORG VM SYM
NN RB B-LOC NN RB
VM SYM B-LOC NN VM
NN NN B-ORG NN NN
NN VM B-ORG NN NN
NN NN B-PERSON NNP NNP
NN NNP I-PERSON NNP VM
NNP NNP I-PERSON VM SYM
RB VM B-PERSON NNP VM
VM NNP I-PERSON VM SYM
VM SYM B-DAY NNP NN
SYM NN B-PERSON NN NN
NN NN B-ORG NNP NN
NN NNP I-ORG NN NNP
NNP NN B-PERSON NNP NN
NN NNP I-PERSON NN NN
NN PSP B-PERSON VM PRP
PRP NN B-PERSON NNP VM
NN NNP I-PERSON VM JJ
VM NST B-PERSON NN VM
NN NN B-ORG NN NN
NN NN I-ORG NN NN
NN NN B-PERSON NNP NNP
NN NNP I-PERSON NNP VM
NNP NNP I-PERSON VM SYM
VM SYM B-NUM NN NN
SYM NN B-PERSON NNP NNP
NN NNP I-PERSON NNP NNP
NNP NNP I-PERSON NNP NNP
NNP NNP I-PERSON NNP SYM
NNP NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP NNP
SYM NNP I-PERSON NNP VM
NNP NNP I-PERSON VM SYM
NNP NNP I-PERSON SYM NN
SYM NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP NNP
SYM NNP I-PERSON NNP SYM
NNP NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP NN
SYM NNP I-PERSON NN VM
VM SYM B-LOC SYM NN
NNP SYM B-DATE QC SYM
SYM NN I-DATE SYM PRP
NN VM B-MONEY QC VM
VM QC I-MONEY VM NN
VM NN B-LOC NN RB
VM NN B-NUM NNP NN
VM SYM B-LOC NN NN
NN NN B-PERSON NNP NNP
NN NNP I-PERSON NNP VM
NNP NNP I-PERSON VM PSP
VM PSP B-PERSON PRP NN
VM SYM B-PERSON JJ RB
NN NN B-NUM QC NN
NN QC I-NUM NN PSP
NN PSP B-NUM QC CL
PSP QC I-NUM CL NN
VM SYM B-LOC NN NN
NN SYM B-LOC SYM NN
DEM NN B-ORG NN NN
NN NN I-ORG NN VM
NN SYM B-LOC SYM NNP
NNP SYM B-LOC NN NN
VM SYM B-PERSON NN NN
NN VM B-PERIOD NN NN
VM QC I-PERIOD NN NN
NN NN B-LOC NN VM
NN NST B-LOC NN NN
VM VM B-PERSON NN VM
VM SYM B-MONEY NN JJ
SYM QC I-MONEY JJ NN
VM SYM B-ORG NN NN
SYM NNP I-ORG NN VM
NN NN B-MONEY QC QC
NN NN I-MONEY QC NN
NN QC I-MONEY NN VM
VM SYM B-MONEY QC QC
SYM QC I-MONEY QC PRP
QC QC I-MONEY PRP RB
NN NN B-PERSON SYM NNP
NNP SYM B-PERSON NNP NNP
SYM NNP I-PERSON NNP NN
NNP NNP I-PERSON NN NN
VM SYM B-PERSON NN NN
VM SYM B-PERIOD RB NN
SYM QC I-PERIOD NN NN
NN NN B-NUM CL NN
VM SYM B-PERSON RB NN
VM SYM B-PERSON NNP NN
SYM NNP I-PERSON NN NN
VM SYM B-LOC NNP RB
SYM NNP B-ORG RB NN
VM SYM B-ORG VM UT
SYM NN B-ORG NNP NN
NN NNP I-ORG NN UT
NNP NNP I-ORG UT VM
NN NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP SYM
SYM NNP I-PERSON SYM NN
NN NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NNP
SYM NNP B-PERSON NNP SYM
NNP NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP SYM
SYM NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP SYM
SYM NNP I-PERSON SYM NN
NN NN B-PERSON NNP NNP
NN NNP I-PERSON NNP SYM
NNP NNP I-PERSON SYM NN
NN NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP SYM
SYM NNP I-PERSON SYM NN
SYM NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NN
SYM NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP SYM
SYM NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP SYM
SYM NNP I-PERSON SYM NN
NN NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP SYM
SYM NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP SYM
SYM NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP NN
SYM NNP I-PERSON NN VM
SYM NST B-LOC NNP VM
NST NNP I-LOC VM SYM
NN SYM B-LOC PSP PRP
NN VM B-PERSON NNP NST
VM NNP I-PERSON NST QF
SYM PRP B-PERIOD NN NN
NN SYM B-YEAR NN NN
NN NN B-LOC PSP NST
VM SYM B-LOC NST PRP
VM SYM B-YEAR NNP NN
VM SYM B-PERIOD NN NN
SYM QC I-PERIOD NN VM
NN NN B-PERSON NN NN
NN SYM B-PERSON NNP NNP
SYM NNP I-PERSON NNP NN
NNP NNP I-PERSON NN VM
VM SYM B-LOC NN NNP
NNP NN B-PERSON NNP DEM
NN NNP I-PERSON DEM NN
RB VM B-LOC NN NNP
NNP NN B-PERSON SYM NNP
NNP SYM B-PERSON JJ NN
VM SYM B-PERIOD NN PRP
SYM JJ I-PERIOD PRP NN
VM UT B-PERSON VM SYM
SYM NST B-PERSON PRP NN
NN NN B-PERSON VM NN
NN NN B-PERSON NN VM
SYM QF B-NUM CL PRP
NST PRP B-NUM NN NN
SYM PRP B-NUM CL NN
NN VM B-ORG NN NN
NN NN B-LOC NN NN
NN NN B-DAY JJ NN
NN NN B-PERIOD NN NN
NN JJ I-PERIOD NN NN
NN VM B-ORG NN NN
NN NN B-PERSON VM SYM
NN NN B-PERSON SYM NNP
NNP SYM B-PERSON NNP SYM
SYM NNP I-PERSON SYM NNP
NNP SYM B-PERSON SYM NNP
NNP SYM I-PERSON SYM NNP
NNP SYM B-PERSON SYM NNP
NNP SYM B-PERSON NNP SYM
SYM NNP I-PERSON SYM NNP
NNP SYM B-PERSON SYM NNP
NNP SYM B-PERSON NN VM
VM SYM B-ORG NN NN
SYM NN I-ORG NN NN
NN NN I-ORG NN NN
NN NN I-ORG NN NST
NN NN I-ORG NST VM
VM SYM B-LOC NN NN
NN NN B-LOC NN NN
VM SYM B-NUM NN VM
PRP VM B-LOC NN NN
VM SYM B-DAY NN NN
NN NN B-ORG NNP NN
NN NN B-LOC NN NN
NN NN B-ORG NN NST
NN VM B-NUM NN NN
RB JJ B-PERIOD NN PSP
JJ QC I-PERIOD PSP NN
VM SYM B-LOC NN NN
NN NN B-ORG NN NNP
NNP NN B-PERSON NST VM
NN VM B-LOC NN NNP
NNP NN B-ORG VM SYM
NN NN B-PERSON VM NN
VM SYM B-LOC NN PRP
NN VM B-ORG VM VM
VM SYM B-LOC NN NN
PSP NN B-NUM SYM NN
SYM NN B-NUM NN WQ
VM SYM B-LOC NN NN
VM NN B-DATE NN VM
VM NN B-NUM NN NN
VM SYM B-PERIOD RB NN
SYM QC I-PERIOD NN NN
NN VM B-PERSON NNP VM
VM NNP I-PERSON VM SYM
NN VM B-LOC NN NN
VM NNP B-ORG NN NN
NNP NN I-ORG NN NN
NN NN I-ORG NN NNP
NN NN B-PERSON NNP VM
NN NNP I-PERSON VM SYM
VM NN B-LOC NN NN
NN NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NNP
NNP SYM B-PERSON NN VM
VM SYM B-NUM SYM NN
SYM JJ B-LOC NN NN
NN PSP B-LOC NN NNP
NNP NN B-ORG NN NN
NN NN B-DAY NN NNP
NN NN B-LOC NN VM
SYM NN B-TIME NN PSP
NN QC I-TIME PSP NN
VM SYM B-ORG NN VM
VM NN B-PERSON NN NN
NN NN B-PERSON NN NST
RB NN B-ORG NNP NN
NN NNP I-ORG NN NNP
NNP NN B-PERSON VM QC
NNP VM B-NUM NN NN
VM NN B-PERSON NNP NNP
NN NNP I-PERSON NNP NNP
NNP NNP I-PERSON NNP NN
NNP NNP B-LOC NN RP
VM NN B-LOC NN WQ
DEM NN B-DATE NN VM
NN VM B-ORG NN NN
VM NN I-ORG NN NNP
NN NN B-PERSON SYM NNP
NNP SYM B-PERSON SYM JJ
VM SYM B-ORG NNP NN
NN NN B-LOC NN NN
NN NN B-ORG NN NN
NN NN B-ORG NNP NN
NN NNP I-ORG NN NNP
NNP NN B-PERSON SYM NNP
NNP SYM B-PERSON SYM NNP
NNP SYM B-PERSON SYM NNP
NNP SYM B-PERSON SYM NNP
NNP SYM B-PERSON SYM NNP
NNP SYM B-ORG NN NNP
NNP NN B-PERSON SYM NNP
NNP SYM B-ORG NN NNP
NNP NN B-PERSON SYM NNP
NNP SYM B-PERSON NNP SYM
SYM NNP I-PERSON SYM NNP
NNP SYM B-ORG NN NNP
NNP NN B-PERSON SYM NNP
NNP SYM B-PERSON NNP NNP
SYM NNP I-PERSON NNP VM
NNP NNP I-PERSON VM SYM
NN VM B-ORG NNP NN
VM NNP B-LOC NN NN
NN NN B-PERSON NNP VM
NN NNP I-PERSON VM SYM
NN PRP B-DAY VM SYM
RB NNP B-NUM CL NN
VM SYM B-LOC QC CL
SYM NNP B-NUM CL NN
NN NN B-NUM QC CL
NN QC I-NUM CL NN
VM NN B-PERSON NN VM
NN VM B-PERIOD NN NN
VM QC I-PERIOD NN NN
VM RB B-MONEY NN PSP
RB QC I-MONEY PSP NN
VM SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC NN NN
NN RB B-LOC NN NN
VM SYM B-ORG SYM NN
NN NN B-LOC SYM NNP
NNP SYM B-LOC NN NN
VM SYM B-NUM NN QC
QC NN B-NUM CL NN
CL NN B-NUM CL NN
SYM DEM B-NUM NN QC
QC NN B-NUM NN NN
SYM NN B-MONEY QC QC
NN NN I-MONEY QC NN
NN QC I-MONEY NN VM
NN DEM B-NUM NN NN
SYM RB B-NUM NN NN
DEM NN B-ORG NN NN
NN NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NNP
SYM NNP B-PERSON NNP SYM
NNP NNP I-PERSON SYM NN
SYM NN B-PERSON NNP SYM
NN NNP I-PERSON SYM VM
NN VM B-ORG NN SYM
SYM NN B-NUM SYM QC
QC SYM B-YEAR PSP NNP
QC PSP B-PERSON NNP NNP
PSP NNP I-PERSON NNP SYM
NNP NNP I-PERSON SYM NNP
NNP SYM B-ORG NNP NN
SYM NNP I-ORG NN NN
NNP NNP I-ORG NN SYM
SYM NST B-NUM NN VM
SYM CC B-YEAR PSP JJ
VM SYM B-ORG NN NN
SYM NN I-ORG NN NN
NN NN I-ORG NN SYM
NN NN I-ORG SYM NN
NN SYM B-ORG NNP NNP
SYM NN I-ORG NNP NN
NN NNP I-ORG NN RB
NNP NNP I-ORG RB VM
VM SYM B-ORG NNP NN
SYM NNP I-ORG NN VM
VM SYM B-YEAR NN QC
SYM QC B-DATE QC PSP
QC NN I-DATE PSP QF
VM SYM B-PERIOD NST NN
NN NN B-NUM NN VM
NN NN B-PERSON NNP PRP
NN NNP I-PERSON PRP NN
NN NN B-LOC SYM NNP
NNP SYM B-LOC NST SYM
SYM NN B-PERIOD NN NN
NN QC I-PERIOD NN NN
QC NN I-PERIOD NN QF
NN QF B-ORG NNP NN
QF NNP I-ORG NN UT
RB VM B-ORG NNP NN
VM NNP I-ORG NN NN
VM SYM B-PERSON NNP NN
SYM NNP I-PERSON NN JJ
JJ VM B-ORG NNP QC
VM NNP I-ORG QC UT
NNP NNP B-NUM UT VM
SYM CC B-ORG NNP NN
CC NNP I-ORG NN NN
SYM NN B-YEAR PSP NN
NN NN B-MONEY NN NN
NN QC I-MONEY NN VM
NN SYM B-PERSON VM SYM
PRP VM B-PERSON NN NN
NN VM B-PERSON VM SYM
NN VM B-LOC SYM NN
NNP SYM B-DATE QC SYM
SYM NN I-DATE SYM NNP
QC SYM B-LOC NNP NN
SYM NNP I-LOC NN NN
VM SYM B-ORG NN NN
SYM NNP I-ORG NN VM
NN NN B-PERSON NNP JJ
NN NNP I-PERSON JJ NN
UT VM B-PERSON NNP SYM
VM NNP I-PERSON SYM PRP
NNP UT B-PERSON RB VM
NN NST B-PERSON NNP QC
NST NNP I-PERSON QC NN
NNP NNP B-NUM NN NN
NN VM B-LOC NN NNP
NNP NN B-ORG NNP NN
NN NNP I-ORG NN JJ
JJ VM B-PERSON NNP NNP
VM NNP I-PERSON NNP SYM
NNP NNP I-PERSON SYM NNP
NNP SYM B-LOC SYM NN
NNP SYM B-DATE QC SYM
SYM NN I-DATE SYM NN
NN NN B-ORG NN NN
NN NNP I-ORG NN SYM
NNP NN I-ORG SYM NNP
NN SYM B-ORG NN NN
SYM NNP I-ORG NN SYM
NNP NN I-ORG SYM DEM
NN NN B-DATE QC PSP
NN NN I-DATE PSP JJ
PSP JJ B-NUM NN NN
NN VM B-NUM SYM NN
SYM NN B-MONEY QC QC
NN NN I-MONEY QC PSP
NN QC I-MONEY PSP NN
QC PSP B-MONEY QC QC
PSP NN I-MONEY QC NN
NN QC I-MONEY NN NN
NN NN B-LOC JJ NN
VM SYM B-DAY NN PSP
NN NN B-NUM NN NN
NN QC I-NUM NN NN
NN NN B-MONEY QC QC
NN NN I-MONEY QC PSP
NN QC I-MONEY PSP NN
QC PSP B-MONEY QC QC
PSP NN I-MONEY QC VM
NN QC I-MONEY VM SYM
VM SYM B-PERSON VM NN
NNP SYM B-LOC NNP NNP
SYM NNP B-LOC NNP NN
NNP NNP B-ORG NN NN
NNP NNP I-ORG NN NN
VM NN B-DAY VM SYM
NN VM B-PERSON SYM NNP
NNP SYM B-PERSON NN NN
NN VM B-MONEY QC QC
VM NN I-MONEY QC VM
NN QC I-MONEY VM NN
VM SYM B-DAY QO NN
NN PSP B-NUM NN NN
VM SYM B-NUM NN NN
QO NN B-MONEY QC NN
NN NN I-MONEY NN VM
SYM NN B-DATE SYM VM
VM NN B-DATE NN NN
SYM VM B-PERIOD NN QC
VM NN B-MONEY QC QC
NN NN I-MONEY QC QC
NN QC I-MONEY QC NN
QC QC I-MONEY NN SYM
NN NN B-DATE QC SYM
NN NN I-DATE SYM QC
QC SYM B-DATE NN NN
SYM NN B-NUM NN NN
NN SYM B-MONEY QC NN
SYM QC I-MONEY NN SYM
QC QC I-MONEY SYM VM
NN NN B-PERSON NN NN
NN NN B-LOC SYM NNP
NNP SYM B-LOC SYM NN
NNP SYM B-DATE QC SYM
SYM NN I-DATE SYM NN
NN VM B-NUM NN NN
NN NN B-NUM NN VM
VM JJ B-ORG NN NN
JJ NN I-ORG NN NN
NN NN I-ORG NN NNP
NN NN B-PERSON NNP VM
NN NNP I-PERSON VM SYM
VM SYM B-DAY NNP PRP
SYM NN B-LOC PRP NN
NN VM B-NUM CL NN
JJ NN B-ORG NN VM
VM SYM B-LOC NN NNP
NNP NN B-LOC NN NN
NN NN B-ORG NNP NNP
NN NNP I-ORG NNP NN
NNP NNP I-ORG NN NN
NNP NNP I-ORG NN NNP
NN NN B-PERSON NNP NNP
NN NNP I-PERSON NNP VM
NNP NNP I-PERSON VM NN
NN JJ B-LOC NN VM
SYM NN B-ORG NN PSP
NN NNP I-ORG PSP QF
VM VM B-ORG NST VM
JJ NN B-ORG NNP NNP
NN NNP I-ORG NNP NN
NNP NNP I-ORG NN PSP
NNP NNP I-ORG PSP NNP
NN PSP B-ORG PSP VM
VM JJ B-ORG NN NN
JJ NN I-ORG NN NNP
NN NN B-PERSON NNP NN
NN NNP I-PERSON NN VM
VM SYM B-LOC NN VM
NN VM B-ORG SYM NNP
NNP SYM B-ORG NN NN
SYM NNP I-ORG NN SYM
NNP NN I-ORG SYM NNP
NN SYM B-ORG NNP NNP
SYM NNP I-ORG NNP SYM
NNP NNP I-ORG SYM NNP
NNP SYM B-ORG NNP JJ
SYM NNP I-ORG JJ NN
NN VM B-PERSON NN VM
VM SYM B-ORG NN NN
SYM NNP I-ORG NN NNP
NN NN B-PERSON NN NN
VM NST B-ORG PSP VM
NN NST B-NUM SYM QC
QC SYM B-NUM NN VM
JJ NN B-ORG NN PRP
NN NNP I-ORG PRP NN
NN NN B-ORG NN NN
NN NNP I-ORG NN NN
NN PSP B-NUM QC CL
PSP QC I-NUM CL NN
VM VM B-PERSON NNP VM
VM NNP B-PERSON VM NN
NN SYM B-ORG NN NN
SYM NN I-ORG NN NNP
NN NN B-PERSON VM SYM
NN VM B-LOC NNP NN
NN SYM B-NUM SYM NN
VM SYM B-PERSON NN PRP
VM SYM B-PERSON PSP NN
SYM NN B-PERSON VM SYM
RP NN B-PERSON PRP NN
NN JJ B-PERSON NN SYM
PSP VM B-PERSON NN VM
NN NN B-YEAR QC PSP
NN QC B-YEAR PSP RP
VM SYM B-LOC NN QC
NNP NN B-NUM SYM QC
QC SYM B-NUM SYM NNP
QC SYM B-LOC SYM SYM
SYM NN B-NUM NNP SYM
NN QC B-LOC SYM NN
SYM NN B-NUM NNP NNP
NN QC B-LOC NNP SYM
QC NNP I-LOC SYM NN
SYM NN B-NUM NNP SYM
NN QC B-LOC SYM NN
SYM NN B-NUM NNP SYM
NN QC B-LOC SYM NN
SYM NN B-NUM NNP NNP
NN QC B-LOC NNP NNP
QC NNP B-LOC NNP SYM
NNP NNP I-LOC SYM NN
SYM NN B-NUM NNP NNP
NN QC B-LOC NNP NNP
QC NNP I-LOC NNP SYM
NNP NNP I-LOC SYM NN
SYM NN B-NUM NNP NNP
NN QC B-LOC NNP SYM
QC NNP I-LOC SYM NNP
NNP SYM B-LOC NN RP
NN RP B-NUM NN PSP
NN PSP B-MONEY QC QC
PSP NN I-MONEY QC NN
NN QC I-MONEY NN VM
NN NN B-DAY NN PRP
DEM NN B-LOC UT NN
VM SYM B-PERSON NNP UT
SYM NNP I-PERSON UT VM
NN VM B-PERIOD NN VM
NN RB B-MONEY QC NN
RB NN I-MONEY NN NN
SYM DEM B-PERIOD NN NN
NN NN B-NUM VM SYM
RB VM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC NN RP
NN SYM B-ORG NN NN
SYM NN I-ORG NN VM
NN VM B-PERIOD NN NN
VM QC I-PERIOD NN NN
VM SYM B-PERSON RB JJ
VM SYM B-PERSON DEM RB
VM SYM B-LOC NN SYM
NN NN B-NUM SYM DEM
SYM PRP B-PERIOD NN SYM
RB VM B-PERSON SYM JJ
NN SYM B-LOC SYM VM
SYM RB B-NUM NNP NN
NN SYM B-LOC NN NN
NST NN B-LOC QC NN
NN NNP B-NUM NN VM
NST NN B-NUM NN NN
NN SYM B-NUM NN NN
SYM PRP B-NUM NN RB
RB NN B-NUM JJ NN
NN NN B-NUM NN VM
NN JJ B-PERIOD RB VM
NN NN B-NUM SYM QC
QC SYM B-NUM SYM QC
QC SYM B-NUM VM SYM
PRP JJ I-NUM QC QC
JJ NN I-NUM QC SYM
NN QC I-NUM SYM QC
QC QC I-NUM QC QC
QC SYM I-NUM QC QC
SYM QC I-NUM QC NN
QC QC I-NUM NN VM
VM SYM B-PERSON NN NN
PRP NN B-PERSON NNP NN
NN NNP I-PERSON NN RB
VM SYM B-PERSON NN RB
VM SYM B-PERSON NNP JJ
SYM NNP B-PERSON JJ NN
SYM NN B-PERSON O SYM
VM SYM B-LOC SYM NN
SYM SYM B-LOC NN PSP
NN PSP B-LOC NST NN
NN NN B-ORG NNP NN
NN NNP I-ORG NN VM
VM SYM B-LOC VM NNP
NNP VM B-LOC VM PRP
VM SYM B-LOC NN PSP
PSP VM B-LOC NN SYM
NN SYM B-ORG NN JJ
SYM NN I-ORG JJ NN
SYM RB B-LOC NN NST
VM VM B-LOC NN SYM
RB PRP B-DAY NN VM
SYM RB B-LOC PSP SYM
NN VM B-LOC NN RB
NN NN B-PERSON NNP NST
NN NNP I-PERSON NST VM
NST VM B-LOC NN NN
NNP NN B-DATE NN NN
VM NN B-LOC NNP NN
NN NNP B-ORG NN NN
VM SYM B-ORG PSP NN
PSP NN B-ORG SYM NST
NST VM B-ORG NNP NNP
VM NNP I-ORG NNP NN
NNP NNP I-ORG NN NNP
NNP NN B-LOC NN PRP
NN VM B-LOC NN NNP
NNP NN B-LOC NN VM
VM NN B-PERSON NNP VM
NN NNP I-PERSON VM PRP
PRP NN B-LOC NN NN
VM SYM B-ORG NN NN
SYM NNP I-ORG NN NNP
NN NN B-PERSON NNP SYM
NN NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP NNP
SYM NNP I-PERSON NNP SYM
NNP NNP I-PERSON SYM NNP
NNP SYM B-PERSON NNP JJ
SYM NNP I-PERSON JJ NN
NN NN B-LOC RB VM
NN NN B-LOC NNP SYM
NN NNP I-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC VM PSP
NN VM B-LOC NN NN
SYM RB B-LOC NN NN
VM SYM B-LOC NN NNP
NNP NN B-LOC PSP NN
NN NST B-LOC WQ RP
VM NN B-ORG NN NN
SYM NN B-PERSON NNP NNP
NN NNP I-PERSON NNP NST
NNP NNP I-PERSON NST NN
DEM NN B-NUM NN NN
NN VM B-LOC NN NN
RB VM B-LOC NNP NN
VM NNP B-ORG NN NST
NST NN B-ORG NN SYM
NN SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NNP
NNP SYM B-LOC SYM NN
VM PSP B-LOC QF NN
NN NN B-PERSON NNP NNP
NN NNP I-PERSON NNP NST
NNP NNP B-PERSON NST RB
NN VM B-LOC NNP NN
VM NNP B-ORG NN NNP
NNP NN B-LOC VM VM
NN SYM B-PERSON NNP SYM
